freq,album,artista,ano,estilo_wikipedia,ranking_100_RS,artista_sexo,artista_nascimento,artista_ind_dupla_grupo,artista_estado,artista_regiao,youtube,wikipedia
1,doce de coco,jacob_do_bandolim;,1951,choro;samba-canção;,NA,masculino,1918,individual,rio,sudeste,https://www.youtube.com/watch?v=n_8bv513PJo&list=OLAK5uy_kjJogO2VrCBvJad7jDXTouJGndnJ_pIBA,https://pt.wikipedia.org/wiki/Jacob_do_Bandolim
2,chega de saudade,joão_gilberto;,1959,bossa nova;samba ;,4,masculino,1931,individual,bahia,nordeste,https://www.youtube.com/watch?v=q0saxQqMqOQ&list=OLAK5uy_kO5mGMvOC0uOriBOFX1fGd6XShwUqHVgg,https://pt.wikipedia.org/wiki/Chega_de_Saudade_(%C3%A1lbum)
1,samba esquema novo,jorge_ben_jor;,1963,sambalanço;bossa nova;samba jazz;,15,masculino,1939,individual,rio,sudeste,https://www.youtube.com/watch?v=hg0XftC43Zo&list=PLVnkoLiLMTm4nHQm47nAu-i3LY5_hpxkO,https://pt.wikipedia.org/wiki/Samba_Esquema_Novo
1,samba na madrugada,paulinho_da_viola;elton_medeiros;,1966,samba;choro;,NA,masculino,NA,colaboração,rio,sudeste,https://www.youtube.com/watch?v=mGg2IwuvvYg&list=PLBV5JUlrJAImg9HIdHF6E6g3V5408dz_O,https://pt.wikipedia.org/wiki/Paulinho_da_Viola
1,os afro-sambas,baden_powell;vinícius_de_moraes;,1966,samba;mpb;,29,masculino,NA,colaboração,rio,sudeste,https://www.youtube.com/watch?v=IxM04Y4XSFs&t=705s,https://pt.wikipedia.org/wiki/Os_Afro-sambas_(1966)
1,o inimitável,roberto_carlos;,1968,rock and roll;soul;funk;música romântica;mpb;,82,masculino,1941,individual,espírito santo,sudeste,https://www.youtube.com/watch?v=Yz-Kb1bQafw&list=PLqpnl7ZXISsy8Lp0BBjxlCZxAm9eCoH14,https://pt.wikipedia.org/wiki/O_Inimit%C3%A1vel
1,frevo rasgado,gilberto_gil;,1968,tropicália;mpb;rock psicodélico;,78,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=8WlId3fzFvs&list=PLsYFv2PLHYDw1xBARpWxmK0Wkox_CJyhU,https://pt.wikipedia.org/wiki/Gilberto_Gil_(%C3%A1lbum_de_1968)
1,caetano veloso,caetano_veloso;,1968,tropicália;MPB;rock psicodélico;,37,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=1Z1qNsm-NUk&list=PLVnkoLiLMTm6RIArBGspMGPN7rCvnMlhm,https://pt.wikipedia.org/wiki/Caetano_Veloso_(%C3%A1lbum_de_1968)
1,tropicália et panis et circences,caetano_veloso; gilberto_gil;gal_costa;tom_zé ; os_mutantes ; nara_leão ; torquato_neto ; capinam ; rogério_duprat;,1968,tropicália;mpb;,2,misto,NA,colaboração,vários,vários,https://www.youtube.com/watch?v=QWcjFOzB9qI&list=PLUHPt54xYw0vkgEiBRoST4kG4mFLpWDvt,https://pt.wikipedia.org/wiki/Tropicalia_ou_Panis_et_Circencis
1,só morto,jards_macalé;,1969, ,NA,masculino,1943,individual,rio,sudeste,https://www.youtube.com/watch?v=6rUFvce_B80,https://pt.wikipedia.org/wiki/Jards_Macal%C3%A9
2,construção,chico_buarque;,1971,mpb;samba;,3,masculino,1944,individual,rio,sudeste,https://www.youtube.com/watch?v=rxiafycMSTY&list=PLVnkoLiLMTm6iJV3-bYN6I5lwBBJZLOQy,https://pt.wikipedia.org/wiki/Constru%C3%A7%C3%A3o_(%C3%A1lbum)
3,clube da esquina,milton_nascimento ; lô_borges;,1972,mpb;rock psicodélico;bossa nova;música experimental;rock progressivo;smooth jazz;art rock;samba;jazz rock;música regional;folk;jazz fusion;mod;,7,masculino,NA,colaboração,minas,sudeste,https://www.youtube.com/watch?v=GGmGMEVbTAY&list=PLQSGKwfvWpEGqdKb2J9lfKG_0Dadqj3Uk,https://pt.wikipedia.org/wiki/Clube_da_Esquina
4,acabou chorare,pepeu_gomes ; paulinho_boca_de_cantor ; luiz_galvão ; baby_consuelo ; moraes_moreira;,1972,rock and roll;bossa nova;mpb;samba;baião;,1,misto,NA,grupo,bahia,nordeste,https://www.youtube.com/watch?v=pOZxkhdeTXc&list=OLAK5uy_l2OBKh2G9f6_axy9DPeW8WiLb76xwiUek,https://pt.wikipedia.org/wiki/Acabou_Chorare
1,odair josé,odair_josé;,1973,brega;música romântica;rock;hard rock;blues;rock;soul;mpb;,NA,masculino,1948,individual,goiás,centro-oeste,https://www.youtube.com/watch?v=4G-SnDb46Q8,https://pt.wikipedia.org/wiki/Odair_Jos%C3%A9
1,nelson cavaquinho 1973,nelson_cavaquinho;,1973,samba;,65,masculino,1911,individual,rio,sudeste,https://www.youtube.com/watch?v=lU8j7lj4RdU&list=PLVnkoLiLMTm4vRs5VIPM-TIvyVhhfBeO9,"https://pt.wikipedia.org/wiki/Nelson_Cavaquinho_(%C3%A1lbum_de_1973)#:~:text=Nelson%20Cavaquinho%20%C3%A9%20o%20terceiro,Nelson%20Cavaquinho%2C%20lan%C3%A7ado%20em%201973."
1,(a volta de) secos e molhados,secos_e_molhados;,1973,mpb;vocal;folk;rock progressivo;glam rock;pop psicodélico;,5,masculino,NA,grupo,vários,vários,https://www.youtube.com/watch?v=tvoTrv-5fxE,https://pt.wikipedia.org/wiki/Secos_%26_Molhados_(%C3%A1lbum_de_1973)
2,elis e tom,elis_regina ; tom_jobim;,1974,mpb;bossa nova;samba jazz;,11,misto,NA,colaboração,vários,vários,https://www.youtube.com/watch?v=0CoAke5XyAg,https://pt.wikipedia.org/wiki/Elis_%26_Tom
2,a tábua de esmeralda,jorge_ben_jor;,1974,samba;samba rock;,6,masculino,1939,individual,rio,sudeste,https://www.youtube.com/watch?v=RZWl7CMRmMc&list=OLAK5uy_nRPalwvqyb-ohbafmFnLS0li_AwMHEgLM,https://pt.wikipedia.org/wiki/A_T%C3%A1bua_de_Esmeralda
1,capim novo,luiz_gonzaga;,1976,baião;forró;quadrilha;xaxado;arrasta-pé;,NA,masculino,1912,individual,pernambuco,nordeste,https://www.youtube.com/watch?v=4JeHjsLkyw8&list=OLAK5uy_l2jMtpYHlB74EEPVXHXFj5JJnTH38Ujg4,https://pt.wikipedia.org/wiki/Discografia_de_Luiz_Gonzaga
1,doces bárbaros,caetano_veloso ; gilberto_gil ; gal_costa ; maria_bethânia;,1976,mpb;,95,misto,NA,colaboração,bahia,nordeste,https://www.youtube.com/watch?v=iKxKeFMehrg&list=PLdBDXanzE_fdA82EZxHkEtSbOjAcy7nkd,https://pt.wikipedia.org/wiki/Doces_B%C3%A1rbaros_-_Ao_Vivo
1,falso brilhante,elis_regina;,1976,mpb;rock;,36,feminino,1945,individual,rio grande do sul,sul,https://www.youtube.com/watch?v=UA10_o18LMI&list=PL1A1663B23B340EA2,https://pt.wikipedia.org/wiki/Falso_Brilhante
1,erasmo convida,erasmo_carlos;,1980,rock and roll;iê-iê-iê;rockabilly;doo wop;surf rock;country rock;pop rock;soul;mpb;samba-rock;,NA,masculino,1941,individual,rio,sudeste,https://www.youtube.com/watch?v=TINxph7XGJU,https://pt.wikipedia.org/wiki/Erasmo_Convida
1,parabéns pra minha dor,frankito_lopes;,1982,brega,NA,masculino,1939,individual,goiás,centro-oeste,https://www.youtube.com/watch?v=eVVuHbMF6_U,https://pt.wikipedia.org/wiki/Frankito_Lopes
2,cantoria 1,elomar ; xangai ; geraldo_azevedo ; vital_farias;,1984,mpb;música regional;folk;música erudita;música sertaneja;ópera;,NA,masculino,NA,colaboração,vários,nordeste,https://www.youtube.com/watch?v=DJMmoWcsACk,https://pt.wikipedia.org/wiki/Elomar
1,coisa de pele,jorge_aragão;,1986,samba;partido-alto;pagode;mpb;,NA,masculino,1949,individual,rio,sudeste,https://www.youtube.com/watch?v=QWcjFOzB9qI&list=PLUHPt54xYw0vkgEiBRoST4kG4mFLpWDvt,https://pt.wikipedia.org/wiki/Jorge_Arag%C3%A3o
1,totalmente demais,caetano_veloso;,1986,mpb;,NA,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=sEbxQNrXC6s&list=OLAK5uy_k-qI2aehTPx8hqsZ9Uu9IaLWhihBOVglg,"https://pt.wikipedia.org/wiki/Totalmente_Demais_(%C3%A1lbum)#:~:text=Totalmente%20Demais%20%C3%A9%20o%20primeiro,Caetano%20Veloso%2C%20lan%C3%A7ado%20em%201986."
1,o tempo não para,cazuza;,1988,rock;mpb;pop rock;blues rock;,NA,masculino,1958,individual,rio,sudeste,https://www.youtube.com/watch?v=wYZeAkIgGA0&list=PLFocyBLGQJgof8DEJIzPK6xxmhLv7bVGt,https://pt.wikipedia.org/wiki/O_Tempo_N%C3%A3o_Para
1,mais,marisa_monte;,1991,mpb;,NA,feminino,1967,individual,rio,sudeste,https://www.youtube.com/watch?v=eLWfEdQbPhI&list=PLrt7VbxNS8rerZAzvdBZaqgRBUnXoyEFB,https://pt.wikipedia.org/wiki/Mais_(%C3%A1lbum_de_Marisa_Monte)
1,ao vivo em tatuí,renato_teixeira ; pena_branca ; xavantinho;,1992,música sertaneja;,NA,masculino,NA,colaboração,vários,sudeste,https://www.youtube.com/watch?v=PXMAao8hNus,https://pt.wikipedia.org/wiki/Pena_Branca_%26_Xavantinho
1,sete desejos ,alceu_valença;,1992,forró;rock;mpb;worldbeat;baião;frevo;maracatu;,NA,masculino,1946,individual,pernambuco,nordeste,https://www.youtube.com/watch?v=qqmyS_lqBHE&list=PL4672528CD61041D5,https://pt.wikipedia.org/wiki/Alceu_Valen%C3%A7a
1,calango,skank;,1994,ska;reggae;pop rock;,NA,masculino,NA,individual,minas,sudeste,https://www.youtube.com/watch?v=nCc7FpdvSiA&list=PLvpHonvbt1y2MoghU5EV4waT6je66kiUI,https://pt.wikipedia.org/wiki/Calango_(%C3%A1lbum)
1,samba esquema noise,mundo_livre_s/a;,1994,manguebeat;,69,masculino,NA,grupo,pernambuco,nordeste,https://www.youtube.com/watch?v=H2m9O8CsAm0&list=OLAK5uy_lBAmQqzpdTMtQq_RaLeViCS7WyURLTbxQ,"https://pt.wikipedia.org/wiki/Samba_Esquema_Noise#:~:text=Samba%20Esquema%20Noise%20%C3%A9%20o,punk%2C%20ritmos%20regionais%20entre%20outros."
1,da lama ao caos,chico_science ; nação_zumbi;,1994,manguebeat;,13,masculino,NA,grupo,pernambuco,nordeste,https://www.youtube.com/watch?v=3bCW4B-kk-4,https://pt.wikipedia.org/wiki/Da_Lama_ao_Caos
1,mamonas assassinas,mamonas_assasinas;,1995,rock cômico;avant-garde;metal;brega;pagode romântico;forró;vira;,NA,masculino,NA,grupo,são paulo,sudeste,https://www.youtube.com/watch?v=hsD4tz_vNOM&list=OLAK5uy_m9Rkrrrx6PV5cb4zuezwV7yYkoH6ngVJ0,https://pt.wikipedia.org/wiki/Mamonas_Assassinas_(%C3%A1lbum)
1,amigos,chitãozinho_xororó ; zezé_di_camargo_luciano ; leandro_leonardo;,1995,música sertaneja;,NA,masculino,NA,colaboração,vários,vários,https://www.youtube.com/watch?v=18LcjJVCTAM,https://pt.wikipedia.org/wiki/Amigos_(show)
2,o grande encontro,elba_ ramalho ; alceu_valença ;  geraldo_azevedo ; zé_ramalho;,1996,mpb;forró;música regional;,NA,misto,NA,colaboração,vários,nordeste,https://www.youtube.com/watch?v=QWcjFOzB9qI&list=PLUHPt54xYw0vkgEiBRoST4kG4mFLpWDvt,https://pt.wikipedia.org/wiki/O_Grande_Encontro
1,axé bahia 96,vários;,1996,axé;,NA,misto,NA,coletânea,bahia,nordeste,https://www.youtube.com/watch?v=wlxd4mTJeKo,https://pt.wikipedia.org/wiki/Ax%C3%A9_Bahia
2,é o tchan do Brasil,é_o_tchan;,1997,pagode baiano;,NA,misto,NA,grupo,bahia,nordeste,https://www.youtube.com/watch?v=6aaZD8FMtaM&list=PLbR9X6YVuIRU02qGne94POo3oI3YlRbvq,"https://pt.wikipedia.org/wiki/%C3%89_o_Tchan_do_Brasil#:~:text=%C3%89%20o%20Tchan%20do%20Brasil%20%C3%A9%20um%20%C3%A1lbum%20de%20est%C3%BAdio,Diamante%20Duplo%2C%20segundo%20a%20ABPD."
1,sobrevivendo no inferno,racionais_mc's;,1997,gangsta rap;political hip hop;,14,masculino,NA,grupo,são paulo,sudeste,https://www.youtube.com/watch?v=fVQ3YYnic2o,https://pt.wikipedia.org/wiki/Sobrevivendo_no_Inferno
1,quarteto jobim morelenbaum,paulo_jobim;daniel_jobim;jaques_morelenbaum;paula_morelenbaum;,1999,bossa nova;samba;mpb;,NA,misto,NA,grupo,rio,sudeste,https://www.youtube.com/watch?v=ZA22hOnolao&list=PL6L0P6l1A2NARli0omTTxezjgg079mTnB,https://pt.wikipedia.org/wiki/Quarteto_Jobim_Morelenbaum
1,só no forevis,raimundos;,1999,hardcore punk;punk rock;metal alternativo;,NA,masculino,NA,grupo,df,centro-oeste,https://www.youtube.com/watch?v=Pb-V0wBjEWQ&list=OLAK5uy_m7w6AzJlnc1mXMNuBX2UugSCSQi7hJKy0,https://pt.wikipedia.org/wiki/S%C3%B3_no_Forevis
1,tornado muito nervoso,furacão_2000;,2000,funk carioca;,NA,masculino,NA,grupo,rio,sudeste,https://www.youtube.com/watch?v=Rk-iL39ve8Q,https://pt.wikipedia.org/wiki/Furac%C3%A3o_2000
1,são joão vivo,gilberto_gil;,2001,tropicália;mpb;,NA,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=HblCRQjFPdE&list=PLwivYHfvVP-rGVLTcF4EgVd6KCMh2Faay,https://pt.wikipedia.org/wiki/Discografia_de_Gilberto_Gil
2,ao vivo no olimpo,grupo_revelação;,2002,samba;pagode;,NA,masculino,NA,grupo,rio,sudeste,https://www.youtube.com/watch?v=dUuzq0Wz_A8,https://pt.wikipedia.org/wiki/Ao_Vivo_no_Olimpo
1,uma prova de amor,zeca_pagodinho;,2008,samba;pagode;,NA,masculino,1959,individual,rio,sudeste,https://www.youtube.com/watch?v=X0SXsrjwXU4&list=OLAK5uy_k4U11F9WnHcTStJhwQtPLadhCThHSqYWM,https://pt.wikipedia.org/wiki/Uma_Prova_de_Amor_(%C3%A1lbum_de_Zeca_Pagodinho)
1,fé na festa,gilberto_gil;,2010,mpb;maxixe;baião;xote;forró;tropicalismo;,NA,masculino,1942,individual,bahia,nordeste,https://www.youtube.com/watch?v=VUckFBKsnSs,https://pt.wikipedia.org/wiki/F%C3%A9_na_Festa
1,calor humano,pepeu_gomes;,2011,rock psicodélico;tropicália;mpb;heavy metal;frevo;pop;jazz fusion;ijexá;,NA,masculino,1952,individual,bahia,nordeste,https://www.youtube.com/watch?v=K85Ms02Rei0&list=OLAK5uy_koD-111HkaCwm3X2heTG79__F6yO8TJC8,https://pt.wikipedia.org/wiki/Pepeu_Gomes
1,musicas para churrasco,seu_jorge;,2011,mpb;soul;funk;,NA,masculino,NA,individual,rio,sudeste,https://www.youtube.com/watch?v=XQ2xUh6LwNA&list=OLAK5uy_k5X3H2Q8Peq6ue5nOGLogn2eEcnGqg8rw,"https://pt.wikipedia.org/wiki/M%C3%BAsicas_para_Churrasco,_Vol._1"
1,belo 10 anos de sucesso ,belo;,2012,samba;pagode;mpb;,NA,masculino,1974,individual,são paulo,sudeste,https://www.youtube.com/watch?v=StUNKhUQ3Ls&list=PLbhXOz5NXC7VpnVlbMiAV99xTXS5aN_6b,https://pt.wikipedia.org/wiki/Belo_(cantor)
1,raça negra e amigos,raça_negra;,2012,pagode;pagode romântico;balada romântica;pop;,NA,masculino,NA,grupo,são paulo,sudeste,https://www.youtube.com/watch?v=4p0NI2tOmkE&list=PLXfh0qX8cM6PLf3p46pq88jb8kC-_hwDd,https://pt.wikipedia.org/wiki/Discografia_de_Ra%C3%A7a_Negra
1,carta de amor,maria_bethânia;,2013,mpb;fado;,NA,feminino,1946,individual,bahia,nordeste,https://www.youtube.com/watch?v=dU4XQODt5WI&t=466s,https://pt.wikipedia.org/wiki/O%C3%A1sis_de_Beth%C3%A2nia
1,banzeiro,dona_onete;,2016,carimbó;,NA,feminino,1939,individual,pará,norte,https://www.youtube.com/watch?v=eL5acSF7CEo&list=RDeL5acSF7CEo&start_radio=1&t=0,https://pt.wikipedia.org/wiki/Dona_Onete
1,caravanas,chico_buarque;,2017,mpb;,NA,masculino,1944,individual,rio,sudeste,https://www.youtube.com/watch?v=w2e_flBNxLE&t=17s,https://pt.wikipedia.org/wiki/Caravanas_(%C3%A1lbum)
1,elas em evidências,chitãozinho_xororó;,2017,música sertaneja;,NA,masculino,NA,dupla,paraná,sul,https://www.youtube.com/watch?v=ktLXNUpzbvQ&list=PLU5Dp4rP1B_sbtxHgxPg1vDnagKjIkI-E,https://pt.wikipedia.org/wiki/Elas_em_Evid%C3%AAncias
2,amarelo,emicida;,2019,hip hop;rap;,NA,masculino,1985,individual,são paulo,sudeste,https://www.youtube.com/watch?v=kjggvv0xM8Q&list=PL_N6VL1gm0aLlr0HQ6yl2lRXdSfuxMt-s,https://pt.wikipedia.org/wiki/Amarelo_(%C3%A1lbum)
1,coisas da geração,lagum;,2019,pop;rock;reggae;,NA,masculino,NA,grupo,minas,sudeste,https://www.youtube.com/watch?v=-ArT83MwJ58&list=PLsb3PSsusjqsq-HaPninKNqafkQDIpfKM,"https://pt.wikipedia.org/wiki/Coisas_da_Gera%C3%A7%C3%A3o#:~:text=Coisas%20da%20Gera%C3%A7%C3%A3o%20%C3%A9%20o,14%20de%20junho%20de%202019."
1,anti-herói,jão;,2019,pop;soft rock;R&B;alternativo;,NA,masculino,1994,individual,são paulo,sudeste,https://www.youtube.com/watch?v=H6Dbnk511FI&list=OLAK5uy_kNHNrrnKNgklUfUk8VNcPoJessuGaS0GA,"https://pt.wikipedia.org/wiki/Anti-Her%C3%B3i_(%C3%A1lbum)#:~:text=Anti%2DHer%C3%B3i%20(estilizado%20em%20letra,de%202019%20pela%20Universal%20Music."
1,jambu e os mítidos sons da amazônia,vários;,2019, ,NA,NA,NA,coletânea,pará,norte,https://www.youtube.com/watch?v=ymqrTfYKXJI&list=PLjfHkXa2IYgjtAuGjcsbUIdhQAfcSDI-G,https://en.wikipedia.org/wiki/Michael_Graves_(audio_engineer)
1,o tempo é agora,anavitória;,2020,pop;folk;,NA,feminino,NA,dupla,tocantins,norte,https://www.youtube.com/watch?v=4Blu0dQiayw&list=PLic2nT1tEigPITlO_L9Fi62CNu_2Sztgv,https://pt.wikipedia.org/wiki/Anavit%C3%B3ria
1,a nova cara das vaquejadas,tarcísio_do_acordeon;,2020,forró;vaquejada;piseiro;,NA,masculino,1993,individual,ceará,nordeste,https://www.youtube.com/watch?v=z4g2PhB6ghw,https://pt.wikipedia.org/wiki/Tarc%C3%ADsio_do_Acordeon